"year","doy","hour","solar","temp","rh","windspeed","precip","doy_time","time_zone_offset"
2019,156,6,0,19.5708348754011,0.8455,1,0.0105833333333333,3750,-6
2019,156,7,4.90472659049298,20.6038059222874,0.886714249456123,1,0.0105833333333333,3751,-6
2019,156,8,983.489234307732,21.95,0.918339055353103,1,0.0105833333333333,3752,-6
2019,156,9,1442.9247150376,23.5176762068336,0.938219239431525,1,0.0105833333333333,3753,-6
2019,156,10,1627.64922193446,25.2,0.945,1,0.0105833333333333,3754,-6
2019,156,11,1708.5109997245,26.8823237931664,0.938219239431525,1,0.0105833333333333,3755,-6
2019,156,12,1731.89999993399,28.45,0.918339055353103,1,0.0105833333333333,3756,-6
2019,156,13,1708.5109997245,29.7961940777126,0.886714249456123,1,0.0105833333333333,3757,-6
2019,156,14,1627.64922193446,30.8291651245989,0.8455,1,0.0105833333333333,3758,-6
2019,156,15,1442.9247150376,31.4785178708789,0.797504989975402,1,0.0105833333333333,3759,-6
2019,156,16,983.489234307732,31.7,0.746,1,0.0105833333333333,3760,-6
2019,156,17,4.90472659049298,31.4785178708789,0.694495010024598,1,0.0105833333333333,3761,-6
2019,156,18,0,30.8291651245989,0.6465,1,0.0105833333333333,3762,-6
2019,156,19,0,29.7961940777126,0.605285750543877,1,0.0105833333333333,3763,-6
2019,156,20,0,28.45,0.573660944646897,1,0.0105833333333333,3764,-6
2019,156,21,0,26.8823237931664,0.553780760568475,1,0.0105833333333333,3765,-6
2019,156,22,0,25.2,0.547,1,0.0105833333333333,3766,-6
2019,156,23,0,23.5176762068336,0.553780760568475,1,0.0105833333333333,3767,-6
2019,157,0,0,21.5,0.561732741416621,1,0,3768,-6
2019,157,1,0,20.2573593128807,0.594628896294385,1,0,3769,-6
2019,157,2,0,19.3038475772934,0.6375,1,0,3770,-6
2019,157,3,0,18.7044450422656,0.687424457663778,1,0,3771,-6
2019,157,4,0,18.5,0.741,1,0,3772,-6
2019,157,5,0,18.7044450422656,0.794575542336222,1,0,3773,-6
2019,157,6,0,19.3038475772934,0.8445,1,0,3774,-6
2019,157,7,7.56623410186434,20.2573593128807,0.887371103705615,1,0,3775,-6
2019,157,8,1057.2699014052,21.5,0.920267258583379,1,0,3776,-6
2019,157,9,1534.02232692288,22.9470857293849,0.940946646041837,1,0,3777,-6
2019,157,10,1726.51595271455,24.5,0.948,1,0,3778,-6
2019,157,11,1810.95531115122,26.0529142706151,0.940946646041837,1,0,3779,-6
2019,157,12,1835.3999999302,27.5,0.920267258583379,1,0,3780,-6
2019,157,13,1810.95531115122,28.7426406871193,0.887371103705615,1,0,3781,-6
2019,157,14,1726.51595271455,29.6961524227066,0.8445,1,0,3782,-6
2019,157,15,1534.02232692288,30.2955549577344,0.794575542336222,1,0,3783,-6
2019,157,16,1057.2699014052,30.5,0.741,1,0,3784,-6
2019,157,17,7.56623410186434,30.2955549577344,0.687424457663778,1,0,3785,-6
2019,157,18,0,29.6961524227066,0.6375,1,0,3786,-6
2019,157,19,0,28.7426406871193,0.594628896294385,1,0,3787,-6
2019,157,20,0,27.5,0.561732741416621,1,0,3788,-6
2019,157,21,0,26.0529142706151,0.541053353958163,1,0,3789,-6
2019,157,22,0,24.5,0.534,1,0,3790,-6
2019,157,23,0,22.9470857293849,0.541053353958163,1,0,3791,-6
2019,158,0,0,21.25,0.594502922692598,1,0,3792,-6
2019,158,1,0,20.1937554159486,0.620009361619559,1,0,3793,-6
2019,158,2,0,19.3832704406994,0.65325,1,0,3794,-6
2019,158,3,0,18.8737782859258,0.691959543261045,1,0,3795,-6
2019,158,4,0,18.7,0.7335,1,0,3796,-6
2019,158,5,0,18.8737782859258,0.775040456738955,1,0,3797,-6
2019,158,6,0,19.3832704406994,0.81375,1,0,3798,-6
2019,158,7,10.2893346027107,20.1937554159486,0.846990638380441,1,0,3799,-6
2019,158,8,1104.32657912099,21.25,0.872497077307402,1,0,3800,-6
2019,158,9,1585.1212517247,22.4800228699771,0.888531095119395,1,0,3801,-6
2019,158,10,1780.0723100985,23.8,0.894,1,0,3802,-6
2019,158,11,1865.76977867946,25.1199771300229,0.888531095119395,1,0,3803,-6
2019,158,12,1890.59999992825,26.35,0.872497077307402,1,0,3804,-6
2019,158,13,1865.76977867946,27.4062445840514,0.846990638380441,1,0,3805,-6
2019,158,14,1780.0723100985,28.2167295593006,0.81375,1,0,3806,-6
2019,158,15,1585.1212517247,28.7262217140742,0.775040456738955,1,0,3807,-6
2019,158,16,1104.32657912099,28.9,0.7335,1,0,3808,-6
2019,158,17,10.2893346027107,28.7262217140742,0.691959543261045,1,0,3809,-6
2019,158,18,0,28.2167295593006,0.65325,1,0,3810,-6
2019,158,19,0,27.4062445840514,0.620009361619559,1,0,3811,-6
2019,158,20,0,26.35,0.594502922692598,1,0,3812,-6
2019,158,21,0,25.1199771300229,0.578468904880605,1,0,3813,-6
2019,158,22,0,23.8,0.573,1,0,3814,-6
2019,158,23,0,22.4800228699771,0.578468904880605,1,0,3815,-6
2019,159,0,0,20.2,0.665029202134226,1,0.0211666666666667,3816,-6
2019,159,1,0,19.2473088065419,0.688787536212611,1,0.0211666666666667,3817,-6
2019,159,2,0,18.5162831425916,0.71975,1,0.0211666666666667,3818,-6
2019,159,3,0,18.0567411990703,0.755806552757173,1,0.0211666666666667,3819,-6
2019,159,4,0,17.9,0.7945,1,0.0211666666666667,3820,-6
2019,159,5,0,18.0567411990703,0.833193447242827,1,0.0211666666666667,3821,-6
2019,159,6,0,18.5162831425916,0.86925,1,0.0211666666666667,3822,-6
2019,159,7,10.5007844646682,19.2473088065419,0.900212463787389,1,0.0211666666666667,3823,-6
2019,159,8,902.854972788502,20.2,0.923970797865774,1,0.0211666666666667,3824,-6
2019,159,9,1282.46987886927,21.3094323925284,0.938905911030216,1,0.0211666666666667,3825,-6
2019,159,10,1437.05531768373,22.5,0.944,1,0.0211666666666667,3826,-6
2019,159,11,1505.15235259266,23.6905676074716,0.938905911030216,1,0.0211666666666667,3827,-6
2019,159,12,1524.89999994226,24.8,0.923970797865774,1,0.0211666666666667,3828,-6
2019,159,13,1505.15235259266,25.7526911934581,0.900212463787389,1,0.0211666666666667,3829,-6
2019,159,14,1437.05531768373,26.4837168574084,0.86925,1,0.0211666666666667,3830,-6
2019,159,15,1282.46987886927,26.9432588009297,0.833193447242827,1,0.0211666666666667,3831,-6
2019,159,16,902.854972788502,27.1,0.7945,1,0.0211666666666667,3832,-6
2019,159,17,10.5007844646682,26.9432588009297,0.755806552757173,1,0.0211666666666667,3833,-6
2019,159,18,0,26.4837168574084,0.71975,1,0.0211666666666667,3834,-6
2019,159,19,0,25.7526911934581,0.688787536212611,1,0.0211666666666667,3835,-6
2019,159,20,0,24.8,0.665029202134226,1,0.0211666666666667,3836,-6
2019,159,21,0,23.6905676074716,0.650094088969784,1,0.0211666666666667,3837,-6
2019,159,22,0,22.5,0.645,1,0.0211666666666667,3838,-6
2019,159,23,0,21.3094323925284,0.650094088969784,1,0.0211666666666667,3839,-6
2019,160,0,0,20.85,0.776186878783999,1,0,3840,-6
2019,160,1,0,20.0837049096098,0.789456583770923,1,0,3841,-6
2019,160,2,0,19.4957060059976,0.80675,1,0,3842,-6
2019,160,3,0,19.1260744427304,0.82688860973394,1,0,3843,-6
2019,160,4,0,19,0.8485,1,0,3844,-6
2019,160,5,0,19.1260744427304,0.870111390266061,1,0,3845,-6
2019,160,6,0,19.4957060059976,0.89025,1,0,3846,-6
2019,160,7,7.39473364765932,20.0837049096098,0.907543416229077,1,0,3847,-6
2019,160,8,509.152155970257,20.85,0.920813121216001,1,0,3848,-6
2019,160,9,715.95126982742,21.7423695331207,0.929154806495137,1,0,3849,-6
2019,160,10,800.527459202883,22.7,0.932,1,0,3850,-6
2019,160,11,837.863455898242,23.6576304668793,0.929154806495137,1,0,3851,-6
2019,160,12,848.699999967931,24.55,0.920813121216001,1,0,3852,-6
2019,160,13,837.863455898242,25.3162950903902,0.907543416229077,1,0,3853,-6
2019,160,14,800.527459202883,25.9042939940024,0.89025,1,0,3854,-6
2019,160,15,715.95126982742,26.2739255572695,0.870111390266061,1,0,3855,-6
2019,160,16,509.152155970257,26.4,0.8485,1,0,3856,-6
2019,160,17,7.39473364765932,26.2739255572695,0.82688860973394,1,0,3857,-6
2019,160,18,0,25.9042939940024,0.80675,1,0,3858,-6
2019,160,19,0,25.3162950903902,0.789456583770923,1,0,3859,-6
2019,160,20,0,24.55,0.776186878783999,1,0,3860,-6
2019,160,21,0,23.6576304668793,0.767845193504863,1,0,3861,-6
2019,160,22,0,22.7,0.765,1,0,3862,-6
2019,160,23,0,21.7423695331207,0.767845193504863,1,0,3863,-6
2019,161,0,0,19.8,0.467804538186346,1,0,3864,-6
2019,161,1,0,19.0129942314911,0.501972042044892,1,0,3865,-6
2019,161,2,0,18.4091034656191,0.5465,1,0,3866,-6
2019,161,3,0,18.0294818601015,0.598353905302958,1,0,3867,-6
2019,161,4,0,17.9,0.654,1,0,3868,-6
2019,161,5,0,18.0294818601015,0.709646094697042,1,0,3869,-6
2019,161,6,0,18.4091034656191,0.7615,1,0,3870,-6
2019,161,7,21.7105661278646,19.0129942314911,0.806027957955108,1,0,3871,-6
2019,161,8,1165.58586908297,19.8,0.840195461813654,1,0,3872,-6
2019,161,9,1623.0299787432,20.7164876286104,0.86167405265215,1,0,3873,-6
2019,161,10,1810.9288922228,21.7,0.869,1,0,3874,-6
2019,161,11,1894.05283361247,22.6835123713896,0.86167405265215,1,0,3875,-6
2019,161,12,1918.19999992767,23.6,0.840195461813654,1,0,3876,-6
2019,161,13,1894.05283361247,24.3870057685089,0.806027957955108,1,0,3877,-6
2019,161,14,1810.9288922228,24.9908965343809,0.7615,1,0,3878,-6
2019,161,15,1623.0299787432,25.3705181398985,0.709646094697042,1,0,3879,-6
2019,161,16,1165.58586908297,25.5,0.654,1,0,3880,-6
2019,161,17,21.7105661278646,25.3705181398985,0.598353905302958,1,0,3881,-6
2019,161,18,0,24.9908965343809,0.5465,1,0,3882,-6
2019,161,19,0,24.3870057685089,0.501972042044892,1,0,3883,-6
2019,161,20,0,23.6,0.467804538186346,1,0,3884,-6
2019,161,21,0,22.6835123713896,0.44632594734785,1,0,3885,-6
2019,161,22,0,21.7,0.439,1,0,3886,-6
2019,161,23,0,20.7164876286104,0.44632594734785,1,0,3887,-6
2019,162,0,0,15.625,0.381502922692598,1,0,3888,-6
2019,162,1,0,13.9992117676856,0.407009361619559,1,0,3889,-6
2019,162,2,0,12.7517005802922,0.44025,1,0,3890,-6
2019,162,3,0,11.9674822636308,0.478959543261045,1,0,3891,-6
2019,162,4,0,11.7,0.5205,1,0,3892,-6
2019,162,5,0,11.9674822636308,0.562040456738955,1,0,3893,-6
2019,162,6,0,12.7517005802922,0.60075,1,0,3894,-6
2019,162,7,29.7221758490459,13.9992117676856,0.633990638380441,1,0,3895,-6
2019,162,8,1209.8849694553,15.625,0.659497077307402,1,0,3896,-6
2019,162,9,1668.81992953009,17.5182704959452,0.675531095119395,1,0,3897,-6
2019,162,10,1858.15664371297,19.55,0.681,1,0,3898,-6
2019,162,11,1942.09501849285,21.5817295040548,0.675531095119395,1,0,3899,-6
2019,162,12,1966.49999992601,23.475,0.659497077307402,1,0,3900,-6
2019,162,13,1942.09501849285,25.1007882323144,0.633990638380441,1,0,3901,-6
2019,162,14,1858.15664371297,26.3482994197078,0.60075,1,0,3902,-6
2019,162,15,1668.81992953009,27.1325177363692,0.562040456738955,1,0,3903,-6
2019,162,16,1209.8849694553,27.4,0.5205,1,0,3904,-6
2019,162,17,29.7221758490459,27.1325177363692,0.478959543261045,1,0,3905,-6
2019,162,18,0,26.3482994197078,0.44025,1,0,3906,-6
2019,162,19,0,25.1007882323144,0.407009361619559,1,0,3907,-6
2019,162,20,0,23.475,0.381502922692598,1,0,3908,-6
2019,162,21,0,21.5817295040548,0.365468904880605,1,0,3909,-6
2019,162,22,0,19.55,0.36,1,0,3910,-6
2019,162,23,0,17.5182704959452,0.365468904880605,1,0,3911,-6
2019,163,0,0,16.275,0.504857097069603,1,0.772583333333333,3912,-6
2019,163,1,0,15.2084000768893,0.535528391230996,1,0.772583333333333,3913,-6
2019,163,2,0,14.3899691705101,0.5755,1,0.772583333333333,3914,-6
2019,163,3,0,13.8754819946113,0.622047924295213,1,0.772583333333333,3915,-6
2019,163,4,0,13.7,0.672,1,0.772583333333333,3916,-6
2019,163,5,0,13.8754819946113,0.721952075704786,1,0.772583333333333,3917,-6
2019,163,6,0,14.3899691705101,0.7685,1,0.772583333333333,3918,-6
2019,163,7,28.4674280583561,15.2084000768893,0.808471608769004,1,0.772583333333333,3919,-6
2019,163,8,867.952140362725,16.275,0.839142902930397,1,0.772583333333333,3920,-6
2019,163,9,1186.25469369447,17.517081917722,0.85842368447379,1,0.772583333333333,3921,-6
2019,163,10,1318.15020933189,18.85,0.865,1,0.772583333333333,3922,-6
2019,163,11,1376.74792700168,20.182918082278,0.85842368447379,1,0.772583333333333,3923,-6
2019,163,12,1393.79999994767,21.425,0.839142902930397,1,0.772583333333333,3924,-6
2019,163,13,1376.74792700168,22.4915999231107,0.808471608769004,1,0.772583333333333,3925,-6
2019,163,14,1318.15020933189,23.3100308294899,0.7685,1,0.772583333333333,3926,-6
2019,163,15,1186.25469369447,23.8245180053887,0.721952075704786,1,0.772583333333333,3927,-6
2019,163,16,867.952140362725,24,0.672,1,0.772583333333333,3928,-6
2019,163,17,28.4674280583561,23.8245180053887,0.622047924295213,1,0.772583333333333,3929,-6
2019,163,18,0,23.3100308294899,0.5755,1,0.772583333333333,3930,-6
2019,163,19,0,22.4915999231107,0.535528391230996,1,0.772583333333333,3931,-6
2019,163,20,0,21.425,0.504857097069603,1,0.772583333333333,3932,-6
2019,163,21,0,20.182918082278,0.48557631552621,1,0.772583333333333,3933,-6
2019,163,22,0,18.85,0.479,1,0.772583333333333,3934,-6
2019,163,23,0,17.517081917722,0.48557631552621,1,0.772583333333333,3935,-6
2019,164,0,0,14.25,0.508919274896094,1,0,3936,-6
2019,164,1,0,13.4008621971352,0.538478138699302,1,0,3937,-6
2019,164,2,0,12.7492958444838,0.577,1,0,3938,-6
2019,164,3,0,12.3397041122148,0.621859657610931,1,0,3939,-6
2019,164,4,0,12.2,0.67,1,0,3940,-6
2019,164,5,0,12.3397041122148,0.718140342389069,1,0,3941,-6
2019,164,6,0,12.7492958444838,0.763,1,0,3942,-6
2019,164,7,52.6250542370461,13.4008621971352,0.801521861300698,1,0,3943,-6
2019,164,8,1208.60034303407,14.25,0.831080725103906,1,0,3944,-6
2019,164,9,1637.2390123125,15.2388419150797,0.849662203689767,1,0,3945,-6
2019,164,10,1815.63881274707,16.3,0.856,1,0,3946,-6
2019,164,11,1895.0662490676,17.3611580849203,0.849662203689767,1,0,3947,-6
2019,164,12,1918.19999992813,18.35,0.831080725103906,1,0,3948,-6
2019,164,13,1895.0662490676,19.1991378028648,0.801521861300698,1,0,3949,-6
2019,164,14,1815.63881274707,19.8507041555162,0.763,1,0,3950,-6
2019,164,15,1637.2390123125,20.2602958877852,0.718140342389069,1,0,3951,-6
2019,164,16,1208.60034303407,20.4,0.67,1,0,3952,-6
2019,164,17,52.6250542370461,20.2602958877852,0.621859657610931,1,0,3953,-6
2019,164,18,0,19.8507041555162,0.577,1,0,3954,-6
2019,164,19,0,19.1991378028648,0.538478138699302,1,0,3955,-6
2019,164,20,0,18.35,0.508919274896094,1,0,3956,-6
2019,164,21,0,17.3611580849203,0.490337796310233,1,0,3957,-6
2019,164,22,0,16.3,0.484,1,0,3958,-6
2019,164,23,0,15.2388419150797,0.490337796310233,1,0,3959,-6
2019,165,0,0,13.3,0.5352734492731,1,0.306916666666667,3960,-6
2019,165,1,0,11.6431457505076,0.569997168310739,1,0.306916666666667,3961,-6
2019,165,2,0,10.3717967697245,0.61525,1,0.306916666666667,3962,-6
2019,165,3,0,9.57259338968746,0.667948038645099,1,0.306916666666667,3963,-6
2019,165,4,0,9.3,0.7245,1,0.306916666666667,3964,-6
2019,165,5,0,9.57259338968746,0.781051961354901,1,0.306916666666667,3965,-6
2019,165,6,0,10.3717967697245,0.83375,1,0.306916666666667,3966,-6
2019,165,7,67.4326888359704,11.6431457505076,0.879002831689261,1,0.306916666666667,3967,-6
2019,165,8,1187.26190191886,13.3,0.9137265507269,1,0.306916666666667,3968,-6
2019,165,9,1594.59448803026,15.2294476391798,0.935554793044161,1,0.306916666666667,3969,-6
2019,165,10,1764.87713623679,17.3,0.943,1,0.306916666666667,3970,-6
