ring,year,doy,depth,sm
25,2004,230,3,27.0835
25,2004,236,3,28.411
25,2004,240,3,38.6671
25,2004,252,3,38.2015
25,2004,257,3,36.796
25,2004,259,3,39.7897
25,2004,265,3,39.564
25,2004,271,3,38.9845
25,2004,274,3,39.0032
32,2004,176,3,39.6104
32,2004,182,3,38.4976
32,2004,190,3,39.022
32,2004,194,3,39.3606
32,2004,197,3,39.4964
32,2004,202,3,40.9825
32,2004,205,3,38.3877
32,2004,209,3,38.2787
32,2004,216,3,35.0895
32,2004,222,3,28.1525
32,2004,230,3,26.9974
32,2004,236,3,30.5855
32,2004,240,3,41.3629
32,2004,252,3,38.61
32,2004,257,3,38.7838
32,2004,259,3,40.0245
32,2004,265,3,40.003
32,2004,271,3,39.769
32,2004,274,3,37.9908
17,2004,176,4,44.3636
17,2004,182,4,44.2606
17,2004,190,4,43.6504
17,2004,194,4,44.205
17,2004,197,4,44.122
17,2004,202,4,43.8269
17,2004,205,4,43.7118
17,2004,209,4,43.0677
17,2004,216,4,41.645
17,2004,222,4,37.3941
17,2004,230,4,34.4043
17,2004,236,4,34.8484
17,2004,240,4,44.0781
17,2004,252,4,42.8506
17,2004,257,4,42.4916
17,2004,259,4,43.3062
17,2004,265,4,43.1605
17,2004,271,4,42.7167
17,2004,274,4,42.5328
24,2004,176,4,43.7432
24,2004,182,4,43.0871
24,2004,190,4,42.7363
24,2004,194,4,43.2015
24,2004,197,4,42.7874
24,2004,202,4,43.0878
24,2004,205,4,42.9742
24,2004,209,4,41.9403
24,2004,216,4,39.7232
24,2004,222,4,34.5954
24,2004,230,4,33.5805
24,2004,236,4,35.6177
24,2004,240,4,40.3667
24,2004,252,4,41.2014
24,2004,257,4,39.5706
24,2004,259,4,42.5418
24,2004,265,4,42.5818
24,2004,271,4,42.0919
24,2004,274,4,42.1017
25,2004,176,4,43.536
25,2004,182,4,43.0785
25,2004,190,4,42.5729
25,2004,194,4,43.2348
25,2004,197,4,42.985
25,2004,202,4,42.9242
25,2004,205,4,42.6266
25,2004,209,4,41.8305
25,2004,216,4,41.0826
25,2004,222,4,36.6106
25,2004,230,4,30.0724
25,2004,236,4,30.0042
25,2004,240,4,40.6835
25,2004,252,4,41.1122
25,2004,257,4,38.914
25,2004,259,4,41.4453
25,2004,265,4,41.6174
25,2004,271,4,41.1254
25,2004,274,4,41.1547
32,2004,176,4,41.8587
32,2004,182,4,41.4066
32,2004,190,4,41.0336
32,2004,194,4,41.4348
32,2004,197,4,41.4948
32,2004,202,4,41.3937
32,2004,205,4,41.0436
32,2004,209,4,40.7135
32,2004,216,4,39.5647
32,2004,222,4,33.5417
32,2004,230,4,31.8804
32,2004,236,4,34.3605
32,2004,240,4,40.3768
32,2004,252,4,39.5051
32,2004,257,4,39.5245
32,2004,259,4,40.0226
32,2004,265,4,40.6438
32,2004,271,4,40.003
32,2004,274,4,38.222
17,2004,176,5,43.5558
17,2004,182,5,43.297
17,2004,190,5,42.7882
17,2004,194,5,43.4192
17,2004,197,5,43.0981
17,2004,202,5,42.9025
17,2004,205,5,42.7687
17,2004,209,5,42.0142
17,2004,216,5,42.3669
17,2004,222,5,38.9269
17,2004,230,5,39.4469
17,2004,236,5,39.3698
17,2004,240,5,42.9937
17,2004,252,5,42.2951
17,2004,257,5,42.0912
17,2004,259,5,42.7051
17,2004,265,5,42.4997
17,2004,271,5,42.2341
17,2004,274,5,42.1014
24,2004,176,5,44.3944
24,2004,182,5,43.8688
24,2004,190,5,43.5649
24,2004,194,5,43.8582
24,2004,197,5,43.8261
24,2004,202,5,43.8578
24,2004,205,5,43.6693
24,2004,209,5,43.0251
24,2004,216,5,41.8733
24,2004,222,5,37.6283
24,2004,230,5,35.5418
24,2004,236,5,39.1374
24,2004,240,5,40.0226
24,2004,252,5,40.6279
24,2004,257,5,39.3147
24,2004,259,5,42.5249
24,2004,265,5,43.0972
24,2004,271,5,42.5107
24,2004,274,5,42.7156
25,2004,176,5,44.6721
25,2004,182,5,44.3015
25,2004,190,5,43.9857
25,2004,194,5,44.5242
25,2004,197,5,44.322
25,2004,202,5,44.1646
25,2004,205,5,43.9658
25,2004,209,5,43.1844
25,2004,216,5,42.8871
25,2004,222,5,39.8953
25,2004,230,5,34.266
25,2004,236,5,33.2197
25,2004,240,5,41.534
25,2004,252,5,42.3155
25,2004,257,5,40.2787
25,2004,259,5,42.1046
25,2004,265,5,42.0843
25,2004,271,5,41.6601
25,2004,274,5,41.7697
32,2004,176,5,42.7284
32,2004,182,5,42.4201
32,2004,190,5,41.9623
32,2004,194,5,42.3092
32,2004,197,5,42.2692
32,2004,202,5,41.828
32,2004,205,5,42.1245
32,2004,209,5,41.3731
32,2004,216,5,40.9823
32,2004,222,5,38.1175
32,2004,230,5,35.1738
32,2004,236,5,36.959
32,2004,240,5,39.9932
32,2004,252,5,40.1107
32,2004,257,5,39.7691
32,2004,259,5,40.0524
32,2004,265,5,40.7332
32,2004,271,5,40.0815
32,2004,274,5,37.9367
17,2004,176,6,42.5485
17,2004,182,6,42.2847
17,2004,190,6,42.0055
17,2004,194,6,42.4955
17,2004,197,6,42.3528
17,2004,202,6,42.0475
17,2004,205,6,41.7626
17,2004,209,6,40.9807
17,2004,216,6,41.3126
17,2004,222,6,39.0784
17,2004,230,6,40.2681
17,2004,236,6,40.2488
17,2004,240,6,42.1727
17,2004,252,6,41.0921
17,2004,257,6,40.8924
17,2004,259,6,41.9189
17,2004,265,6,41.6356
17,2004,271,6,41.2833
17,2004,274,6,41.143
24,2004,176,6,44.6702
