"year","doy","hour","SolarR","Temp","RH","WS","precip"
2013,1,0,0,-2.53568115234373,0.901617785822104,6.90201301443811,0
2013,1,1,0,-2.42652994791666,0.903587609923651,6.90201301443811,0
2013,1,2,0,-2.31737874348954,0.905479089917073,6.90201301443811,0
2013,1,3,0,-2.20822753906248,0.907293454903752,7.21144445340892,0.0082706301327562
2013,1,4,0,-2.07066446940104,0.909324133319685,7.21144445340892,0.0284933224823665
2013,1,5,0,-1.93310139973954,0.91123858056564,7.21144445340892,0.0487160148319769
2013,1,6,0,-1.88077392578123,0.912285897519313,5.6436010070396,0.0574945450352971
2013,1,7,0,-1.93496975368924,0.910752720672812,5.6436010070396,0.044940490973507
2013,1,8,0,-2.07440117730033,0.908333848512626,5.6436010070396,0.0209422747654268
2013,1,9,0,-2.3204406738281,0.909474587074739,4.68105455587189,0.00372100062122627
2013,1,10,17.5290195809,-2.7861230920862,0.920672853963642,4.68105455587189,0.00175324365348691
2013,1,11,62.6074998282377,-3.35841358326093,0.935324987626603,4.68105455587189,0.00656242874962724
2013,1,12,123.972572998969,-3.71958007812498,0.9379617174328,5.33614193901159,0.0109399347820727
2013,1,13,218.609697011336,-3.61970395688655,0.918510572979434,5.33614193901159,0.0129911276114096
2013,1,14,329.533413947097,-3.3087038393374,0.888323211661624,5.33614193901159,0.0146106413770516
2013,1,15,394.524482308485,-3.21860351562498,0.862333314425705,6.49135245051206,0.014273757369665
2013,1,16,381.181900377877,-3.55190520109954,0.842110835503578,6.49135245051206,0.0106972268440586
2013,1,17,321.906669872896,-4.1061066804109,0.822384323923315,6.49135245051206,0.00516429854542366
2013,1,18,251.682554448643,-4.70572509765623,0.807479074188766,5.22924875314783,0
2013,1,19,162.92816155892,-5.28941220883968,0.799585067015911,5.22924875314783,0
2013,1,20,63.2248837499251,-5.91851625795715,0.797680808915529,5.22924875314783,0
2013,1,21,10.3006623153556,-6.60159912109373,0.804175659951292,3.45087550136896,0
2013,1,22,3.05587750050431,-7.34113611291957,0.826506470175254,3.45087550136896,0
2013,1,23,0.383420715212649,-8.13465191876446,0.860569710379952,3.45087550136896,0.00349498929305507
2013,2,0,0,-8.9832824707031,0.888955720727866,2.92994228196927,0.0113486516056582
2013,2,1,0,-9.94072288230615,0.900362342288754,2.92994228196927,0.0165880330314394
2013,2,2,0,-10.9532780400029,0.899836472841415,2.92994228196927,0.0206077133952931
2013,2,3,0,-11.8609985351562,0.894638876712711,2.69572693015912,0.0226760832447326
2013,2,4,0,-12.6266913519966,0.888992105093574,2.69572693015912,0.0223891064024429
2013,2,5,0,-13.2875495062934,0.881732605731144,2.69572693015912,0.0201508190457389
2013,2,6,0,-13.7952026367187,0.877682515514304,3.61062944281554,0.016441720254079
2013,2,7,0,-14.2484316225405,0.881697467547989,3.61062944281554,0.0100983128883551
2013,2,8,0,-14.5484555844907,0.89206071331373,3.61062944281554,0.00228409408767523
2013,2,9,0,-14.3505615234375,0.904079901428951,4.86930590589868,0
2013,2,10,19.2913747852972,-13.3474600332754,0.911189403564999,4.86930590589868,0
2013,2,11,69.9405180350395,-11.8464405201099,0.907255661843298,4.86930590589868,0
2013,2,12,141.109958090003,-10.424658203125,0.896190464054313,5.75717723449893,0
2013,2,13,253.660983854346,-9.25759819878471,0.884338728168518,5.75717723449893,0.011234291787332
2013,2,14,386.732306423909,-8.16977539062498,0.871225723893996,5.75717723449893,0.0258018734029974
2013,2,15,466.902587427001,-7.21188964843748,0.859933454829049,7.42515997019069,0.0330295541061787
2013,2,16,457.87473720371,-6.33542028356482,0.854428400644017,7.42515997019069,0.0261030885061094
2013,2,17,395.945845413947,-5.58888798466432,0.851458176684498,7.42515997019069,0.0118367219935559
2013,2,18,316.585842665751,-5.16855468749998,0.845885519019069,5.58854895358434,0
2013,2,19,205.137904043564,-5.15290595160587,0.83176809414922,5.58854895358434,0
2013,2,20,76.2588544629442,-5.46345621744791,0.815848897703327,5.58854895358434,0
2013,2,21,9.38909927859842,-6.06101074218748,0.813498333083993,2.57037947536303,0
2013,2,22,2.78378930208507,-7.10886343496816,0.83911941353301,2.57037947536303,0
2013,2,23,0.348661397864933,-8.44372038664642,0.879991249508505,2.57037947536303,0
2013,3,0,0,-9.5365051269531,0.91071717821356,1.95643797524432,0
2013,3,1,0,-10.1619357638888,0.918490620531041,1.95643797524432,0.00279103091389288
2013,3,2,0,-10.5452941894532,0.915493524018924,1.95643797524432,0.0237061087288146
2013,3,3,0,-10.833349609375,0.91161844086834,0.879954973896515,0.0359999990905635
2013,3,4,0,-11.0074557834201,0.912581642890585,0.879954973896515,0.0296542848583975
2013,3,5,0,-11.0862589518229,0.913921534341407,0.879954973896515,0.0146873831730587
2013,3,6,0,-11.2724670410156,0.909520038141069,0.68958975857081,0.00369642298210238
2013,3,7,0,-11.7050898799189,0.88908456872255,0.68958975857081,0.000418429965590697
2013,3,8,0,-12.2451176396123,0.85913251074392,0.68958975857081,0
2013,3,9,0,-12.6782287597656,0.842871585744947,2.85976405938053,0
2013,3,10,30.3246636894538,-13.0541194209346,0.86046841879655,2.85976405938053,0
2013,3,11,99.3401140501546,-13.3230934425636,0.897084675446216,2.85976405938053,0.000409024272359457
2013,3,12,174.108540020612,-13.1217407226562,0.924666759919193,3.29946101652805,0
2013,3,13,259.91363105462,-12.1371193214699,0.922571880189874,3.29946101652805,0
2013,3,14,351.471697698386,-10.6821711787471,0.902587170947629,3.29946101652805,0
2013,3,15,399.993860529028,-9.33231201171873,0.88536430457243,4.09217390736577,0
