C_Year,Obs,C_Month,C_Day,C_Hour,C_minute,dw_psp [Wm-2],temp             [Co],rh [%],Precip [mm],windspd [ms-1]
2010,147,1,7,2,0,0,-7.6667,95.535,0.508,3.805
2010,148,1,7,3,0,0,-7.3467,95.852,0.508,4.1
2010,149,1,7,4,0,0,-6.8433,96.172,1.016,4.49
2010,150,1,7,5,0,0,-6.62,96.397,0.508,4.6817
2010,151,1,7,6,0,0,-6.4417,96.52,0.508,3.9733
2010,152,1,7,7,0,4.01,-6.2233,96.782,0.254,3.215
2010,153,1,7,8,0,67.18,-5.8517,96.808,0.508,4.7383
2010,154,1,7,9,0,182.53,-8.0283,93.087,0.127,11.045
2010,155,1,7,10,0,281.43,-8.9267,89.207,0.127,11.3533
2010,156,1,7,11,0,339.82,-9.1617,86.495,0.127,11.2867
2010,157,1,7,12,0,356.43,-10.085,87.08,0.127,11.2517
2010,158,1,7,13,0,341.81,-10.825,85.502,0.127,11.5983
2010,159,1,7,14,0,226.13,-11.32,85.788,0.127,11.0817
2010,160,1,7,15,0,122.91,-11.7933,85.163,0.127,9.9567
2010,161,1,7,16,0,14.33,-11.8367,86.245,0.127,8.0967
2010,162,1,7,17,0,0,-11.5167,88.748,0.127,7.42
2010,163,1,7,18,0,0,-11.2833,89.188,0.127,6.5883
2010,164,1,7,19,0,0,-10.705,88.603,0.127,9.3383
2010,165,1,7,20,0,0,-10.7967,88.217,0.127,9.9367
2010,166,1,7,21,0,0,-10.745,88,0.127,10.7767
2010,167,1,7,22,0,0,-10.945,88.067,0.127,10.1483
2010,168,1,7,23,0,0,-11.0267,88.21,0.127,9.4767
2010,169,1,8,0,0,0,-11.105,89.64,0.127,8.2633
2010,170,1,8,1,0,0,-10.2467,89.408,0.127,9.58
2010,171,1,8,2,0,0,-10.2467,89.423,0.127,10.2433
2010,172,1,8,3,0,0,-10.6133,89.918,0.127,10.1267
2010,173,1,8,4,0,0,-10.105,90.465,0.127,9.595
2010,174,1,8,5,0,0,-9.8,91.04,0.127,9.125
2010,175,1,8,6,0,0,-9.5467,91.625,0.127,8.195
2010,176,1,8,7,0,26.17,-8.3917,90.903,0.127,7.6983
2010,177,1,8,8,0,117.41,-10.6283,89.493,0.127,8.715
2010,178,1,8,9,0,302.16,-11.4217,87.25,0,8.955
2010,179,1,8,10,0,361.06,-9.79,86.408,0,7.9033
2010,180,1,8,11,0,410.97,-8.7,84.92,0.127,7.7217
2010,181,1,8,12,0,350.87,-8.4233,84.58,0.127,7.41
2010,182,1,8,13,0,378.11,-8.5433,82.873,0,7.9217
2010,183,1,8,14,0,324.3,-8.6567,82.158,0,8.5383
2010,184,1,8,15,0,112.21,-8.83,84.333,0,8.3433
2010,185,1,8,16,0,15.49,-8.9333,84.598,0,7.5317
2010,186,1,8,17,0,0,-9.37,83.847,0,8.05
2010,187,1,8,18,0,0,-10.325,83.765,0,7.9333
2010,188,1,8,19,0,0,-11.155,84.245,0,7.5533
2010,189,1,8,20,0,0,-12.0817,85.572,0,7.05
2010,190,1,8,21,0,0,-12.6717,86.342,0,7.6383
2010,191,1,8,22,0,0,-13.495,86.905,0,7.5867
2010,192,1,8,23,0,0,-14.2717,86.593,0,6.8467
2010,193,1,9,0,0,0,-15.3117,86.1,0,6.7133
2010,194,1,9,1,0,0,-16.6717,86.315,0,5.4033
2010,195,1,9,2,0,0,-18.2433,86.288,0,5.1467
2010,196,1,9,3,0,0,-19.4983,86.837,0,3.835
2010,197,1,9,4,0,0,-20.5483,86.663,0,3.1683
2010,198,1,9,5,0,0,-21.2267,86.29,0,3.02
2010,199,1,9,6,0,0,-21.3767,86.27,0,3.52
2010,200,1,9,7,0,21.83,-21.5867,85.415,0,3.0317
2010,201,1,9,8,0,160.85,-20.7217,84.603,0,2.9983
2010,202,1,9,9,0,323.23,-19.2517,84.17,0,2.9317
2010,203,1,9,10,0,448.96,-17.2017,82.615,0,3.3333
2010,204,1,9,11,0,517.02,-15.4367,78.452,0,3.1733
2010,205,1,9,12,0,519.42,-14.1833,77.335,0,4.0367
2010,206,1,9,13,0,452.7,-13.0917,77.118,0,4.5917
2010,207,1,9,14,0,328.53,-12.8033,78.283,0,4.8783
2010,208,1,9,15,0,167.61,-13.365,79.078,0,4.215
2010,209,1,9,16,0,26.21,-14.9267,80.673,0,4.17
2010,210,1,9,17,0,0,-16.645,82.427,0,4.2983
2010,211,1,9,18,0,0,-17.73,84.978,0,3.8883
2010,212,1,9,19,0,0,-17.5167,86.065,0,5.1867
2010,213,1,9,20,0,0,-17.9783,84.963,0,3.7717
2010,214,1,9,21,0,0,-18.055,84.545,0,3.6433
2010,215,1,9,22,0,0,-18.7233,85.438,0,3.7867
2010,216,1,9,23,0,0,-18.945,86.922,0,2.17
2010,217,1,10,0,0,0,-19.62,88.422,0,1.9983
2010,218,1,10,1,0,0,-20.18,87.727,0,1.96
2010,219,1,10,2,0,0,-20.5933,86.567,0,1.9617
2010,220,1,10,3,0,0,-21.1633,85.765,0,2.51
2010,221,1,10,4,0,0,-21.225,85.515,0,2.0467
2010,222,1,10,5,0,0,-21.6017,85.268,0,2.2283
2010,223,1,10,6,0,0,-21.75,84.867,0,1.4333
2010,224,1,10,7,0,23.74,-21.4267,84.81,0,1.8183
2010,225,1,10,8,0,165.98,-20.9717,83.952,0,1.745
2010,226,1,10,9,0,322.11,-19.5917,84.333,0,2.5117
2010,227,1,10,10,0,449.41,-17.57,84.922,0,3.61
2010,228,1,10,11,0,518.5,-15.5683,84.023,0,4.585
2010,229,1,10,12,0,518.31,-14.0867,79.045,0,4.7883
2010,230,1,10,13,0,458.07,-12.88,77.58,0,5.6933
2010,231,1,10,14,0,317.1,-11.7983,79.035,0,5.7733
2010,232,1,10,15,0,161.92,-11.16,79.545,0,4.8933
2010,233,1,10,16,0,16.51,-11.5167,81.818,0,5.5717
2010,234,1,10,17,0,0,-10.735,78.55,0,7.7817
2010,235,1,10,18,0,0,-10.335,78.122,0,7.87
2010,236,1,10,19,0,0,-10.13,78.503,0,8.2117
2010,237,1,10,20,0,0,-9.7733,78.488,0,8.1967
2010,238,1,10,21,0,0,-8.8333,76.665,0,8.995
2010,239,1,10,22,0,0,-7.975,76.722,0,9.5933
2010,240,1,10,23,0,0,-7.2267,77.783,0,8.43
2010,241,1,11,0,0,0,-7.01,76.915,0,7.4917
2010,242,1,11,1,0,0,-7.2417,78.148,0,6.9383
2010,243,1,11,2,0,0,-6.9817,78.592,0,7.575
2010,244,1,11,3,0,0,-6.2817,78.4,0,7.5717
2010,245,1,11,4,0,0,-5.9,79.575,0,6.75
2010,246,1,11,5,0,0,-5.04,77.437,0,6.3117
2010,247,1,11,6,0,0,-4.76,76.74,0,6.6183
2010,248,1,11,7,0,13.94,-5.355,79.817,0,5.375
2010,249,1,11,8,0,99.3,-5.855,82.843,0,5.33
2010,250,1,11,9,0,216.19,-5.7917,82.522,0,7.0033
2010,251,1,11,10,0,318.73,-6.825,81.47,0,7.88
2010,252,1,11,11,0,464.15,-7.5717,79.438,0,7.6517
2010,253,1,11,12,0,417.99,-7.8833,76.862,0,8.0133
2010,254,1,11,13,0,437.63,-7.6983,77.058,0,7.44
2010,255,1,11,14,0,312.99,-7.4133,76.952,0,8.1233
2010,256,1,11,15,0,147.58,-7.5533,78.41,0,7.05
2010,257,1,11,16,0,21.92,-7.705,81.008,0,5.965
2010,258,1,11,17,0,0,-7.0533,81.81,0,6.5067
2010,259,1,11,18,0,0,-7.4967,84.072,0,3.98
2010,260,1,11,19,0,0,-7.1517,84.602,0.127,4.6783
2010,261,1,11,20,0,0,-6.7383,85.998,0.127,5.0733
2010,262,1,11,21,0,0,-5.9167,86.258,0.127,4.67
2010,263,1,11,22,0,0,-6.1367,85.983,0.127,5.3833
2010,264,1,11,23,0,0,-6.8117,87.408,0.127,5.8433
2010,265,1,12,0,0,0,-7.03,86.895,0.127,6.4833
2010,266,1,12,1,0,0,-6.38,85.235,0.127,6.9533
2010,267,1,12,2,0,0,-7.0183,85.238,0.127,5.2133
2010,268,1,12,3,0,0,-9.1017,88.39,0.127,4.73
2010,269,1,12,4,0,0,-8.08,87.923,0.127,4.9667
2010,270,1,12,5,0,0,-7.2883,87.438,0.127,4.14
2010,271,1,12,6,0,0,-6.7733,87.317,0,3.71
2010,272,1,12,7,0,10.7,-6.3817,86.737,0,4.0467
2010,273,1,12,8,0,83.12,-6.0283,87.092,0,3.3533
2010,274,1,12,9,0,200.24,-5.2283,83.407,0,2.7417
2010,275,1,12,10,0,262.48,-4.4117,80.903,0,1.4433
2010,276,1,12,11,0,315.04,-4.0083,81.453,0,2.49
2010,277,1,12,12,0,313.16,-3.6533,81.225,0,2.6483
2010,278,1,12,13,0,289.97,-3.1733,79.675,0,2.005
2010,279,1,12,14,0,205.35,-2.885,79.267,0,1.645
2010,280,1,12,15,0,105.7,-2.8783,80.265,0,1.44
2010,281,1,12,16,0,18.45,-3.58,85.935,0,2.59
2010,282,1,12,17,0,0,-4.2767,88.312,0,2.2833
2010,283,1,12,18,0,0,-4.65,89.715,0,2.2433
2010,284,1,12,19,0,0,-5.5083,91.88,0,3.1367
2010,285,1,12,20,0,0,-6.5683,93.723,0,3.7733
2010,286,1,12,21,0,0,-7.575,95.49,0,3.79
2010,287,1,12,22,0,0,-8.345,96.325,0,3.7367
2010,288,1,12,23,0,0,-8.9683,95.55,0,3.975
2010,289,1,13,0,0,0,-9.4883,94.917,0,3.8333
2010,290,1,13,1,0,0,-9.92,94.45,0,3.5583
2010,291,1,13,2,0,0,-10.1833,94.238,0,3.7633
2010,292,1,13,3,0,0,-10.315,94.07,0,3.69
2010,293,1,13,4,0,0,-10.475,93.987,0,3.5317
2010,294,1,13,5,0,0,-9.8067,94.372,0,3.72
2010,295,1,13,6,0,0,-9.235,94.615,0,5.0867
2010,296,1,13,7,0,80.81,-9.03,94.192,0,5.1233
2010,297,1,13,8,0,163.62,-8.0467,90.65,0,5.3533
2010,298,1,13,9,0,319.3,-6.2333,85.945,0,6
2010,299,1,13,10,0,446.85,-3.8967,81.418,0,6.615
2010,300,1,13,11,0,514.34,-2.2567,79.393,0,6.125
2010,301,1,13,12,0,516.55,-0.9617,78.727,0,7.105
2010,302,1,13,13,0,454.1,0.1717,77.792,0,6.76
2010,303,1,13,14,0,333.48,0.79,76.482,0,7.1317
2010,304,1,13,15,0,178.05,1.035,77.037,0,6.87
2010,305,1,13,16,0,30.7,0.5033,79.668,0,6.4733
2010,306,1,13,17,0,0,-0.1833,81.807,0,6.27
2010,307,1,13,18,0,0,-0.535,82.378,0,6.825
2010,308,1,13,19,0,0,-0.7783,82.298,0,7.195
2010,309,1,13,20,0,0,-0.8217,81.545,0,7.8533
2010,310,1,13,21,0,0,-1.1467,82.148,0,7.2383
2010,311,1,13,22,0,0,-1.7533,83.107,0,6.91
2010,312,1,13,23,0,0,-1.525,81.47,0,6.7417
2010,313,1,14,0,0,0,-1.9,82.832,0,6.2283
2010,314,1,14,1,0,0,-2.6733,85.11,0,5.4867
2010,315,1,14,2,0,0,-3.0433,85.94,0,5.6033
2010,316,1,14,3,0,0,-2.97,85.492,0,4.8183
2010,317,1,14,4,0,0,-3.2183,85.897,0,4.9367
2010,318,1,14,5,0,0,-3.36,86.703,0,3.6333
2010,319,1,14,6,0,0,-1.985,86.693,0,3.7433
2010,320,1,14,7,0,7.1,-0.6267,85.78,0,4.3583
2010,321,1,14,8,0,68.89,0.1667,85.277,0,5.1083
2010,322,1,14,9,0,138.27,0.89,84.01,0,5.1667
2010,323,1,14,10,0,238.99,1.4433,82.805,0,5.0533
2010,324,1,14,11,0,434.2,1.8833,81.997,0,5.2417
2010,325,1,14,12,0,435.75,2.255,81.367,0,4.4533
2010,326,1,14,13,0,345.16,2.3867,83.16,0,3.875
2010,327,1,14,14,0,265.27,2.51,83.85,0,5.135
2010,328,1,14,15,0,112.81,2.54,85.337,0,5.0483
2010,329,1,14,16,0,8.28,2.5,85.678,0,4.255
2010,330,1,14,17,0,0,2.375,86.31,0,2.9183
2010,331,1,14,18,0,0,2.1683,88.832,0,3.2917
2010,332,1,14,19,0,0,2.6533,86.568,0,3.665
2010,333,1,14,20,0,0,2.6783,86.545,0,4.575
2010,334,1,14,21,0,0,2.35,87.908,0,4.54
2010,335,1,14,22,0,0,2.1883,88.65,0,4.2283
2010,336,1,14,23,0,0,2.0783,89.197,0,3.4133
2010,337,1,15,0,0,0,1.7217,91.355,0,3.2283
2010,338,1,15,1,0,0,1.505,92.74,0,2.905
2010,339,1,15,2,0,0,1.57,93.158,0,2.9517
2010,340,1,15,3,0,0,1.7367,94.43,0,2.7917
2010,341,1,15,4,0,0,1.4367,95.94,0,2.5033
2010,342,1,15,5,0,0,0.8417,97.853,0,2.4983
2010,343,1,15,6,0,0,0.2533,99.16,0,2.1867
2010,344,1,15,7,0,6.49,0.0383,99.718,0,1.675
2010,345,1,15,8,0,42.62,-0.1267,99.897,0,2.975
2010,346,1,15,9,0,91.22,-0.0633,98.943,0,2.2567
2010,347,1,15,10,0,126.73,0.28,93.928,0,1.275
2010,348,1,15,11,0,117.77,0.2333,94.01,0,2.3217
2010,349,1,15,12,0,153.83,0.1417,95.962,0,2.92
2010,350,1,15,13,0,122.85,0.1583,93.672,0,2.6783
2010,351,1,15,14,0,69.87,0.0067,94.968,0,1.495
2010,352,1,15,15,0,36.41,-0.0317,94.982,0,1.3667
2010,353,1,15,16,0,5.86,-0.1767,96.343,0,1.4567
2010,354,1,15,17,0,0,-0.3633,97.115,0,0.975
2010,355,1,15,18,0,0,-0.3817,96.833,0,1.1433
2010,356,1,15,19,0,0,-0.5033,98.028,0,1.4567
2010,357,1,15,20,0,0,-0.6367,98.878,0,1.4367
2010,358,1,15,21,0,0,-0.695,99.348,0,2.57
2010,359,1,15,22,0,0,-0.9117,99.817,0,2.9033
2010,360,1,15,23,0,0,-1.2883,100,0,2.67
2010,361,1,16,0,0,0,-1.5217,100,0,2.6067
2010,362,1,16,1,0,0,-1.72,100,0,2.0017
2010,363,1,16,2,0,0,-1.8617,100,0,2.3383
2010,364,1,16,3,0,0,-1.9417,100,0,1.945
2010,365,1,16,4,0,0,-1.8,100,0,1.8617
2010,366,1,16,5,0,0,-1.7167,100,0,3.2217
2010,367,1,16,6,0,0,-2.06,100,0,3.2983
2010,368,1,16,7,0,8.15,-2.0467,100,0,2.4683
2010,369,1,16,8,0,47.9,-1.3733,100,0,4.2067
2010,370,1,16,9,0,107.98,-0.9733,100,0,2.6083
2010,371,1,16,10,0,126.69,-0.6667,100,0,2.755
2010,372,1,16,11,0,163.81,-0.4467,100,0,2.7767
2010,373,1,16,12,0,174.79,-0.1867,100,0,2.1933
2010,374,1,16,13,0,157.77,0.055,100,0,2.0483
2010,375,1,16,14,0,109.12,0.2883,100,0,0.7683
2010,376,1,16,15,0,60.38,0.3017,100,0,0.745
2010,377,1,16,16,0,11.2,0.3,100,0,0.825
2010,378,1,16,17,0,0,0.075,100,0,1.1033
2010,379,1,16,18,0,0,-0.0467,100,0,1.1133
2010,380,1,16,19,0,0,0.0417,100,0,0.925
2010,381,1,16,20,0,0,0.0433,100,0,1.19
2010,382,1,16,21,0,0,-0.1,100,0,1.8517
2010,383,1,16,22,0,0,-0.0817,100,0,1.8833
2010,384,1,16,23,0,0,-0.0433,100,0,0.8167
2010,385,1,17,0,0,0,-0.4433,100,0,2.0217
2010,386,1,17,1,0,0,-1.0483,100,0,2.7083
2010,387,1,17,2,0,0,-1.4333,100,0,4.3333
2010,388,1,17,3,0,0,-1.75,100,0,5.39
2010,389,1,17,4,0,0,-1.9333,100,0,4.455
2010,390,1,17,5,0,0,-2.0467,100,0,4.11
2010,391,1,17,6,0,0,-2.2917,100,0,3.65
2010,392,1,17,7,0,7.82,-2.2867,100,0,4.5733
2010,393,1,17,8,0,73.89,-2.5083,100,0,4.8417
2010,394,1,17,9,0,146.04,-3.04,99.727,0,5.4283
2010,395,1,17,10,0,250.54,-3.4033,99.12,0,5.8767
2010,396,1,17,11,0,350.64,-3.3383,98.823,0,5.0283
2010,397,1,17,12,0,384.69,-2.845,98.703,0,4.2283
2010,398,1,17,13,0,438.67,-2.405,97.205,0,3.31
2010,399,1,17,14,0,262.9,-2.035,95.865,0,4.0433
2010,400,1,17,15,0,89.11,-1.8933,97.93,0,5.0183
2010,401,1,17,16,0,14.28,-1.3867,99.017,0,4.83
2010,402,1,17,17,0,0,-1.185,100,0,4.8867
2010,403,1,17,18,0,0,-0.7583,100,0,5.0417
2010,404,1,17,19,0,0,-0.1733,100,0,5.4867
2010,405,1,17,20,0,0,-0.0483,100,0,5.4183
2010,406,1,17,21,0,0,0.08,100,0,4.7433
2010,407,1,17,22,0,0,0.1283,100,0,5.0317
2010,408,1,17,23,0,0,0.0383,100,0,5.4283
2010,409,1,18,0,0,0,-0.0133,100,0,5.8133
2010,410,1,18,1,0,0,-0.035,100,0,5.3117
2010,411,1,18,2,0,0,-0.035,100,0,4.58
2010,412,1,18,3,0,0,-0.0633,100,0,4.6283
2010,413,1,18,4,0,0,0,100,0,4.8967
2010,414,1,18,5,0,0,-0.0133,100,0,4.95
2010,415,1,18,6,0,0,-0.1433,100,0,4.975
2010,416,1,18,7,0,5.05,-0.1567,100,0,3.98
2010,417,1,18,8,0,30.31,-0.0967,100,0,3.3983
2010,418,1,18,9,0,84.3,-0.0183,100,0,2.8183
2010,419,1,18,10,0,108.38,0.1017,100,0,3.1433
2010,420,1,18,11,0,140.81,0.1883,100,0,3.2933
2010,421,1,18,12,0,118.06,0.3567,100,0,3.4067
2010,422,1,18,13,0,102.55,0.35,100,0,4.0967
2010,423,1,18,14,0,69.74,0.4483,100,0,3.0967
2010,424,1,18,15,0,30.32,0.5333,100,0,3.7883
2010,425,1,18,16,0,3.98,0.6217,100,0,2.3167
2010,426,1,18,17,0,0,0.6333,100,0,1.2683
2010,427,1,18,18,0,0,0.5117,100,0,1.31
2010,428,1,18,19,0,0,0.3867,100,0,2.275
2010,429,1,18,20,0,0,0.3317,100,0,1.2567
2010,430,1,18,21,0,0,0.3433,100,0,1.415
2010,431,1,18,22,0,0,0.3183,100,0,0.7667
2010,432,1,18,23,0,0,0.2267,100,0,0.7667
2010,433,1,19,0,0,0,0.1217,100,0,0.9367
