C_Year,Obs,C_Month,C_Day,C_Hour,C_minute,dw_psp [Wm-2],temp             [Co],rh [%],Precip [mm],windspd [ms-1]
2010,1,1,1,0,0,0,-13.11,82.613,0,5.6233
2010,2,1,1,1,0,0,-13.5367,83.562,0,5.2067
2010,3,1,1,2,0,0,-13.9567,84.893,0,4.805
2010,4,1,1,3,0,0,-14.4767,85.782,0,4.8983
2010,5,1,1,4,0,0,-14.8267,85.967,0,5.0833
2010,6,1,1,5,0,0,-15.1233,86.432,0,4.9733
2010,7,1,1,6,0,0,-15.4733,86.12,0,4.835
2010,8,1,1,7,0,10.91,-15.605,85.947,0,5.0083
2010,9,1,1,8,0,149.15,-15.2983,84.398,0,5.7567
2010,10,1,1,9,0,302.64,-14.3433,82.568,0,5.83
2010,11,1,1,10,0,420.33,-13.7433,80.955,0,5.24
2010,12,1,1,11,0,470.27,-12.835,79.418,0,6.1317
2010,13,1,1,12,0,429.59,-12.1483,78.167,0,6.8483
2010,14,1,1,13,0,396.71,-11.61,76.585,0,6.505
2010,15,1,1,14,0,277.13,-11.6067,76.372,0,6.5533
2010,16,1,1,15,0,123.19,-12.0333,78.763,0,6.5367
2010,17,1,1,16,0,9.72,-12.3167,79.52,0,6.4767
2010,18,1,1,17,0,0,-12.4067,79.558,0,6.075
2010,19,1,1,18,0,0,-12.375,81.122,0,6.6933
2010,20,1,1,19,0,0,-13.2517,83.708,0,6.6333
2010,21,1,1,20,0,0,-14.2717,83.733,0,6.2817
2010,22,1,1,21,0,0,-14.9283,84.3,0,6.1167
2010,23,1,1,22,0,0,-15.375,84.897,0,5.65
2010,24,1,1,23,0,0,-15.9667,85.988,0,5.91
2010,25,1,2,0,0,0,-16.2767,86.495,0,7.055
2010,26,1,2,1,0,0,-16.4867,87.177,0,7.3433
2010,27,1,2,2,0,0,-17.1583,86.835,0,6.545
2010,28,1,2,3,0,0,-17.4867,86.5,0,5.875
2010,29,1,2,4,0,0,-17.6983,86.033,0,4.5083
2010,30,1,2,5,0,0,-17.7017,85.372,0,4.3417
2010,31,1,2,6,0,0,-18.255,85.523,0,3.345
2010,32,1,2,7,0,21.37,-18.7483,85.408,0,3.7367
2010,33,1,2,8,0,158.27,-18.1933,84.803,0,5.12
2010,34,1,2,9,0,317.84,-17.3233,82.927,0,5.6983
2010,35,1,2,10,0,435.89,-16.5283,80.765,0,6.0933
2010,36,1,2,11,0,498.67,-16.1767,80.54,0,5.6117
2010,37,1,2,12,0,497.61,-15.64,79.522,0,5.3733
2010,38,1,2,13,0,431.29,-14.78,79.002,0,4.9183
2010,39,1,2,14,0,309.48,-14.7,78.772,0,4.9583
2010,40,1,2,15,0,150.82,-14.7517,77.482,0,4.66
2010,41,1,2,16,0,17.73,-15.4167,79.702,0,2.9683
2010,42,1,2,17,0,0,-16.455,82.142,0,3.7883
2010,43,1,2,18,0,0,-17.2767,82.307,0,3.5767
2010,44,1,2,19,0,0,-17.9217,79.877,0,2.6283
2010,45,1,2,20,0,0,-18.63,80.835,0,3.3783
2010,46,1,2,21,0,0,-19.3183,82.447,0,3.305
2010,47,1,2,22,0,0,-19.56,82.178,0,3.9483
2010,48,1,2,23,0,0,-18.945,79.317,0,4.745
2010,49,1,3,0,0,0,-19.1633,80.368,0,4.06
2010,50,1,3,1,0,0,-19.6283,81.082,0,3.6183
2010,51,1,3,2,0,0,-20.0767,81.277,0,3.515
2010,52,1,3,3,0,0,-20.4217,81.832,0,3.3933
2010,53,1,3,4,0,0,-19.7283,80.14,0,3.1433
2010,54,1,3,5,0,0,-19.59,80.138,0,2.3583
2010,55,1,3,6,0,0,-20.0983,80.732,0,2.9117
2010,56,1,3,7,0,22,-20.3883,80.888,0,2.4433
2010,57,1,3,8,0,160.15,-19.4517,78.938,0,2.7417
2010,58,1,3,9,0,317.48,-17.2517,74.84,0,3.1467
2010,59,1,3,10,0,436.4,-15.0617,69.96,0,3.12
2010,60,1,3,11,0,499.48,-14.235,69.528,0,3.585
2010,61,1,3,12,0,497.05,-13.55,68.688,0,3.585
2010,62,1,3,13,0,429.57,-12.995,70.432,0,4.0517
2010,63,1,3,14,0,307.3,-12.5,71.788,0,4.5367
2010,64,1,3,15,0,149.51,-12.6517,74.98,0,4.46
2010,65,1,3,16,0,17.96,-13.3017,78.237,0,4.7567
2010,66,1,3,17,0,0,-14.5717,82.558,0,3.1533
2010,67,1,3,18,0,0,-15.4133,83.887,0,3.5583
2010,68,1,3,19,0,0,-15.5667,83.825,0,3.5583
2010,69,1,3,20,0,0,-16.165,85.105,0,3.5267
2010,70,1,3,21,0,0,-16.2633,85.763,0,4.0133
2010,71,1,3,22,0,0,-16.35,85.818,0,4.1933
2010,72,1,3,23,0,0,-16.7167,86.15,0,3.235
2010,73,1,4,0,0,0,-17.265,87.04,0,3.875
2010,74,1,4,1,0,0,-17.37,86.812,0,4.3967
2010,75,1,4,2,0,0,-17.4983,86.043,0,4.9183
2010,76,1,4,3,0,0,-17.695,85.473,0,4.9467
2010,77,1,4,4,0,0,-17.88,85.465,0,5.15
2010,78,1,4,5,0,0,-17.9867,85.667,0,5.0783
2010,79,1,4,6,0,0,-18.0467,85.963,0,5.4433
2010,80,1,4,7,0,20.54,-17.9817,85.67,0,4.6283
2010,81,1,4,8,0,155.08,-17.1683,84.743,0,5.685
2010,82,1,4,9,0,316.71,-15.8683,83.505,0,6.825
2010,83,1,4,10,0,418.91,-14.6083,81.975,0,6.815
2010,84,1,4,11,0,426.82,-13.4617,81.117,0,6.4333
2010,85,1,4,12,0,401.59,-12.7317,80.31,0,6.55
2010,86,1,4,13,0,329.54,-12.075,80.828,0,7.035
2010,87,1,4,14,0,203.4,-12.0667,80.998,0,7.6
2010,88,1,4,15,0,89.3,-12.0033,81.063,0,6.8433
2010,89,1,4,16,0,13.68,-12.2817,81.612,0,7.1583
2010,90,1,4,17,0,0,-11.9,81.428,0,7.335
2010,91,1,4,18,0,0,-12.3217,82.14,0,7.8383
2010,92,1,4,19,0,0,-13.465,83.003,0,8.63
2010,93,1,4,20,0,0,-14.3817,83.847,0,7.24
2010,94,1,4,21,0,0,-14.8767,83.562,0,6.3433
2010,95,1,4,22,0,0,-15.15,84.335,0,6.0333
2010,96,1,4,23,0,0,-15.245,85.147,0,6.3117
2010,97,1,5,0,0,0,-15.2183,85.895,0,5.7517
2010,98,1,5,1,0,0,-15.3383,86.392,0,5.5367
2010,99,1,5,2,0,0,-16.05,85.793,0,5.4167
2010,100,1,5,3,0,0,-16.885,84.625,0,4.6567
2010,101,1,5,4,0,0,-17.445,84.122,0,4.7867
2010,102,1,5,5,0,0,-18.055,83.885,0,4.745
2010,103,1,5,6,0,0,-18.4917,84.485,0,4.5317
2010,104,1,5,7,0,19.3,-18.6283,84.605,0,4.775
2010,105,1,5,8,0,135.13,-18.0683,82.882,0,5.4067
2010,106,1,5,9,0,300.48,-16.8083,81.357,0,5.5233
2010,107,1,5,10,0,424.76,-15.6133,80.62,0,5.68
2010,108,1,5,11,0,400.18,-14.3567,80.475,0,5.375
2010,109,1,5,12,0,353.76,-13.7933,80.318,0.127,5.2867
2010,110,1,5,13,0,306.37,-13.01,80.973,0,4.7933
2010,111,1,5,14,0,269.55,-12.5667,80.485,0,5.83
2010,112,1,5,15,0,147.28,-12.6283,79.068,0,6.0033
2010,113,1,5,16,0,19.28,-12.985,80.25,0,4.0633
2010,114,1,5,17,0,0,-13.6883,79.943,0,4.1983
2010,115,1,5,18,0,0,-13.9683,80.13,0,4.3883
2010,116,1,5,19,0,0,-14.1667,82.183,0,4.1833
2010,117,1,5,20,0,0,-14.385,83.812,0,4.1017
2010,118,1,5,21,0,0,-14.8017,84.953,0,3.2117
2010,119,1,5,22,0,0,-15.29,86.093,0,3.29
2010,120,1,5,23,0,0,-15.2917,86.108,0,4.0033
2010,121,1,6,0,0,0,-15.895,86.182,0,3.25
2010,122,1,6,1,0,0,-16.6533,86.193,0,2.4867
2010,123,1,6,2,0,0,-17.0467,85.64,0,2.4633
2010,124,1,6,3,0,0,-17.2933,85.482,0,2.3883
2010,125,1,6,4,0,0,-17.9067,85.602,0,2.56
2010,126,1,6,5,0,0,-17.8517,84.438,0,2.5433
2010,127,1,6,6,0,0,-18.0833,84.657,0,1.5083
2010,128,1,6,7,0,20.9,-18.0517,84.322,0,1.345
2010,129,1,6,8,0,151.71,-17.2233,81.008,0,1.8133
2010,130,1,6,9,0,304.21,-15.6483,78.602,0,2.2067
2010,131,1,6,10,0,425.05,-13.7333,76.95,0,2.4767
2010,132,1,6,11,0,491.31,-12.365,76.855,0,3.2117
2010,133,1,6,12,0,493.6,-10.525,75.235,0,2.9917
2010,134,1,6,13,0,274.21,-9.7733,76.863,0,2.79
2010,135,1,6,14,0,246.26,-8.8433,74.648,0,2.1267
2010,136,1,6,15,0,149.7,-8.1567,72.792,0,1.9367
2010,137,1,6,16,0,16.31,-8.8033,77.01,0,2.0933
2010,138,1,6,17,0,0,-9.6383,79.428,0,1.2383
2010,139,1,6,18,0,0,-10.365,82.335,0,0.645
2010,140,1,6,19,0,0,-10.0867,86.89,0,0.6417
2010,141,1,6,20,0,0,-9.36,85.108,0.127,0.6367
2010,142,1,6,21,0,0,-9.18,90.278,0.508,0.8217
2010,143,1,6,22,0,0,-8.8267,93.68,1.016,1.4267
2010,144,1,6,23,0,0,-8.3967,94.762,0.508,2.12
2010,145,1,7,0,0,0,-8.0167,95.03,0.762,1.9533
2010,146,1,7,1,0,0,-7.9883,95.167,1.016,2.77
