"","year","doy","hour","solar","netsolar","dw_solar","up_solar","temp","rh","windspeed","precip","day_length"
"1",2004,1,0,0,0,0,0,0.43,0.7529,4.03,0,8
"2",2004,1,1,0,0,0,0.005,0.425,0.7619,3.87,0,8.00011499826797
"3",2004,1,2,0,0,0,0,0.17,0.77315,3.945,0,8.00026714274172
"4",2004,1,3,0,0,0,0,0.195,0.7983,4.275,0,8.00042680187575
"5",2004,1,4,0,0,0,0.03,-0.03,0.82675,4.425,0,8.00058298933508
"6",2004,1,5,0,0,0,0.04,-0.22,0.8723,4.525,0,8.00072433048187
"7",2004,1,6,0.069,0.235,0,0,-0.315,0.90525,4.355,0,8.00084326415036
"8",2004,1,7,17.71,8.005,5.165,2.44,0.465,0.89895,4.555,0,8.00551694885255
"9",2004,1,8,73.968,27.97,29.74,8.06,1.515,0.88465,4.355,0,8.32007203352266
"10",2004,1,9,104.811,37.255,42.18,11.275,2.08,0.8748,4.305,0,8.32661389222801
"11",2004,1,10,213.693,75.285,93.705,24.37,2.77,0.85625,5.27,0,8.32665037081811
"12",2004,1,11,500.641,179.77,236.785,66.15,4.675,0.81465,6.58,0,8.32665041609816
"13",2004,1,12,407.445,144.685,186.745,50.215,7.39,0.77445,6.27,0,8.32665045646405
"14",2004,1,13,391.828,139.93,181.205,51.32,9.205,0.7599,5.63,0,8.32665063494776
"15",2004,1,14,362.963,131.195,169.685,50.395,10.835,0.73765,7.435,0,8.32665052465574
"16",2004,1,15,108.974,40.81,46.72,13.89,11.005,0.7597,6.03,0,8.32665058088823
"17",2004,1,16,17.779,7.685,4.65,2.07,10.94,0.80865,6.31,0,8.18138414296439
"18",2004,1,17,0.46,0.16,0,0.065,11.19,0.8295,7.4,0,8.04770136209977
"19",2004,1,18,0.46,0,0,0.005,11.205,0.8797,8.02,0,8.04682770027882
"20",2004,1,19,0.46,0,0,0.005,11.325,0.90575,7.31,0,8.04673961672839
"21",2004,1,20,0.46,0,0,0.02,11.12,0.92315,7.2,0,8.04669655365284
"22",2004,1,21,0.46,0,0,0.01,11.3,0.92075,8.01,0,8.04670078413062
"23",2004,1,22,0.46,0,0,0.045,11.245,0.9264,8.13,0,8.04675218052768
"24",2004,1,23,0.46,0,0,0.015,11.215,0.9439,6.73,0,8.04684739261849
"25",2004,2,0,0.46,0,0,0.005,11.1,0.9609,6.07,0.0635,8.04698082438593
"26",2004,2,1,0.46,0,0,0,11.01,0.97445,4.855,0.0635,8.04714240759989
"27",2004,2,2,0.46,0,0,0.075,10.975,0.9782,3.835,0.0635,8.04732191165612
"28",2004,2,3,0.46,0,0,0,11.05,0.9802,3.88,0.0635,8.04750666700039
"29",2004,2,4,0.46,0,0,0.02,11.345,0.9811,3.315,0.0635,8.04768386650546
"30",2004,2,5,0.46,0,0,0.075,11.295,0.982,3.975,0.0635,8.04784141248563
"31",2004,2,6,0.483,0.175,0,0.08,11.09,0.9822,3.045,0.0635,8.04796919141174
"32",2004,2,7,26.128,11.065,9.155,2.88,11.155,0.98325,4.125,0.0635,8.08897904798448
"33",2004,2,8,142.416,54.21,64.65,16.115,12.03,0.9841,5.78,0.0635,8.35971859471688
"34",2004,2,9,123.073,44.305,50.525,12.29,12.6,0.9848,6.045,0.0635,8.36185602844398
"35",2004,2,10,180.665,64.615,75.985,17.39,13.13,0.985,7.495,0.0635,8.36186615024006
"36",2004,2,11,225.239,80.435,96.485,22.47,13.79,0.985,8.66,0.0635,8.36186613260994
"37",2004,2,12,253.667,92.03,111.5,26.625,14.82,0.9586,10.2,0.0635,8.3618661736669
"38",2004,2,13,238.119,86.98,105.915,26.795,15.77,0.9029,10.08,0.0635,8.36186635287148
"39",2004,2,14,163.484,59.03,69.875,18.74,16.175,0.88835,10.365,0.0635,8.36186625567263
"40",2004,2,15,138.805,51.49,59.475,17.785,16.155,0.8884,10.98,0.0635,8.36186622353072
"41",2004,2,16,23.529,9.59,6.65,3.01,15.91,0.88475,10.765,0.0635,8.29289971403648
"42",2004,2,17,0.46,0.19,0,0.035,15.745,0.8811,11.205,0.0635,8.11005137414743
"43",2004,2,18,0.46,0,0,0.08,15.54,0.88675,10.625,0.0635,8.10900365488085
"44",2004,2,19,0.46,0,0,0.01,15.515,0.8878,8.835,0.0635,8.10892803943448
"45",2004,2,20,0.46,0,0,0,15.935,0.87695,9.675,0.0635,8.10889709768118
