"","year","doy","hour","solar","netsolar","dw_solar","up_solar","temp","rh","windspeed","precip","day_length"
"1",2002,1,0,0,0,0,0,-11.245,0.66775,3.56,0,8
"2",2002,1,1,0.05934,0,0,0.03,-12.11,0.6987,3.35,0,8.00011606284961
"3",2002,1,2,0,0,0,0,-12.35,0.7075,2.465,0,8.00026994818328
"4",2002,1,3,0,0,0,0,-12.86,0.7235,2.58,0,8.00042947457866
"5",2002,1,4,0,0,0,0,-13.035,0.7359,2.29,0,8.00058526962826
"6",2002,1,5,0,0,0,0,-13.16,0.73505,2.69,0,8.00072715993151
"7",2002,1,6,0,0,0,0,-13.92,0.76305,3.135,0,8.00084492406901
"8",2002,1,7,51.27965,16.66,17.265,9.265,-13.96,0.7714,2.305,0,8.33210073711336
"9",2002,1,8,318.73492,105.34,138.17,55.8,-12.545,0.7664,1.775,0,8.38222944630438
"10",2002,1,9,610.84596,209.84,285.52,98.98,-10.56,0.6722,2.53,0,8.38258971312896
"11",2002,1,10,831.41274,294.96,400.695,125.37,-8.695,0.60505,2.155,0,8.38259168224571
"12",2002,1,11,948.23342,340.815,462.585,138.575,-6.78,0.5014,1.94,0,8.38259169008688
"13",2002,1,12,950.26087,341.3,463.21,139.115,-5.285,0.4324,2.505,0,8.38259172472944
"14",2002,1,13,695.49447,246.5,338.63,105.115,-4.335,0.38715,3.735,0,8.38259188050369
"15",2002,1,14,618.55027,214.99,293.19,97.725,-3.625,0.3685,3.1,0,8.3825918369001
"16",2002,1,15,226.72825,79.695,106.11,34.93,-3.65,0.37115,3.47,0,8.38259172630898
"17",2002,1,16,40.17318,13.105,14.695,7.205,-4.22,0.40775,3.42,0,8.38181719507914
"18",2002,1,17,0.26703,0.105,0,0.03,-5.245,0.46695,3.31,0,8.08876696164331
"19",2002,1,18,0.00989,0,0,0.005,-6.04,0.51715,3,0,8.08366021793916
"20",2002,1,19,0.17802,0,0,0.09,-6.83,0.57535,2.865,0,8.08357365830116
"21",2002,1,20,0.22747,0,0,0.115,-7.655,0.6036,3.39,0,8.08353357205374
"22",2002,1,21,0.24725,0,0,0.125,-8.275,0.6476,3.59,0,8.08353659928217
"23",2002,1,22,0.32637,0,0,0.165,-9.14,0.68415,3.485,0,8.08358425929072
"24",2002,1,23,0.22747,0,0,0.115,-9.71,0.71195,3.335,0,8.08367398088621
"25",2002,2,0,0.37582,0,0,0.19,-9.94,0.7313,3.635,0,8.08379923757288
"26",2002,2,1,0.31648,0,0,0.16,-11.055,0.79315,3.87,0,8.08395522326342
"27",2002,2,2,0.24725,0,0,0.125,-11.42,0.7976,2.835,0,8.08412458609105
"28",2002,2,3,0.07912,0,0,0.04,-11.17,0.80785,2.115,0,8.08429346197838
"29",2002,2,4,0.05934,0,0,0.03,-10.795,0.8069,2.805,0,8.08444923094343
"30",2002,2,5,0.07912,0,0,0.04,-11.405,0.81195,2.115,0,8.08458797366332
"31",2002,2,6,0.28681,0.145,0,0,-11.315,0.80985,3.175,0,8.08470399744785
"32",2002,2,7,39.09517,13.73,13.615,6.035,-11.375,0.8169,2.8,0,8.32300982848869
"33",2002,2,8,288.54075,97.31,122.605,48.565,-9.325,0.7946,1.955,0,8.4331894240781
"34",2002,2,9,588.13852,203.395,265.395,93.945,-5.68,0.70965,2.215,0,8.43392453598894
"35",2002,2,10,804.20535,284.675,380.955,121.9,-3.57,0.6171,2.815,0,8.43392789787118
"36",2002,2,11,866.91784,310.64,419.87,127.64,-2.795,0.53815,2.355,0,8.4339279776339
"37",2002,2,12,924.69522,330.635,451.065,136.855,-2.025,0.46765,2.36,0,8.433927899812
"38",2002,2,13,820.82055,290.64,394.005,124.335,-1.23,0.43345,1.82,0,8.43392792481444
"39",2002,2,14,617.44259,212.555,287.2,99.6,-0.975,0.39925,2.265,0,8.43392801397819
"40",2002,2,15,280.63864,92.73,121.7,49.15,-0.87,0.3887,1.785,0,8.43392838206687
"41",2002,2,16,46.55223,14.615,15.78,8.92,-1.655,0.41775,1.89,0,8.4338600315604
"42",2002,2,17,0.21758,0.11,0,0,-2.83,0.48415,1.695,0,8.19233301155376
"43",2002,2,18,0,0,0,0,-3.115,0.51605,2.5,0,8.18595347379615
"44",2002,2,19,0.00989,0,0,0.005,-4.415,0.6115,2.905,0,8.18588689711175
"45",2002,2,20,0.15824,0,0,0.08,-6.05,0.7011,2.885,0,8.18585916487384
"46",2002,2,21,0.08901,0,0,0.045,-6.5,0.7433,2.695,0,8.185873424614
"47",2002,2,22,0.07912,0,0,0.04,-5.825,0.7379,3.57,0,8.18592885470627
"48",2002,2,23,1.00878,0,0,0.51,-7.16,0.76085,4.025,0,8.18603432641008
"49",2002,3,0,0.45494,0,0,0.23,-8.675,0.7969,3.245,0.0105833333333333,8.18619147871553
"50",2002,3,1,0.20769,0,0,0.105,-9.195,0.8101,2.95,0.0105833333333333,8.18635460650453
"51",2002,3,2,0,0,0,0,-9.21,0.7892,3,0.0105833333333333,8.18651894189478
"52",2002,3,3,0.02967,0,0,0.015,-9.08,0.7762,3.165,0.0105833333333333,8.18667886184761
"53",2002,3,4,0.30659,0,0,0.155,-9.845,0.7985,3.33,0.0105833333333333,8.18683645339444
"54",2002,3,5,0.03956,0,0,0.02,-10.88,0.8178,2.545,0.0105833333333333,8.18697541255394
"55",2002,3,6,0,0,0,0,-11.32,0.81735,2.715,0.0105833333333333,8.18707835103906
"56",2002,3,7,44.49511,14.725,16.01,7.77,-11.41,0.8103,2.74,0.0105833333333333,8.44544470875319
"57",2002,3,8,296.32418,98.11,125.005,51.7,-9.57,0.7884,2.64,0.0105833333333333,8.51028699396468
"58",2002,3,9,588.04951,201.32,267.665,95.975,-6.86,0.75125,3.075,0.0105833333333333,8.51069171904033
"59",2002,3,10,817.78432,289.06,389.025,124.38,-4.3,0.669,2.715,0.0105833333333333,8.51069310675179
"60",2002,3,11,940.74669,335.84,455.99,139.765,-2.735,0.5776,4.875,0.0105833333333333,8.51069309012664
"61",2002,3,12,944.26753,336.845,458.575,140.54,-1.89,0.53705,5.47,0.0105833333333333,8.5106931042053
"62",2002,3,13,830.76,292.955,397.635,127.045,-1.335,0.47825,4.91,0.0105833333333333,8.51069313827569
"63",2002,3,14,616.81952,212.1,283.43,99.74,-0.825,0.44745,3.6,0.0105833333333333,8.51069326759869
"64",2002,3,15,325.39089,106.66,138.8,57.845,-0.74,0.44,4.525,0.0105833333333333,8.51069380097684
"65",2002,3,16,54.0983,16.14,17.83,11.21,-1.905,0.48795,4.085,0.0105833333333333,8.51068878395139
"66",2002,3,17,0.02967,0,0,0.015,-3.475,0.5625,3.79,0.0105833333333333,8.3155534970509
"67",2002,3,18,0,0,0,0,-3.89,0.5751,3.465,0.0105833333333333,8.30795737078397
"68",2002,3,19,0.20769,0,0,0.105,-5.385,0.63755,3.44,0.0105833333333333,8.30791322811161
"69",2002,3,20,0.00989,0,0,0.005,-6.81,0.6948,3.67,0.0105833333333333,8.30789558522475
"70",2002,3,21,0.04945,0,0,0.025,-7.655,0.72625,3.825,0.0105833333333333,8.30791898803222
"71",2002,3,22,0,0,0,0,-8.11,0.7423,3.69,0.0105833333333333,8.30798326915168
"72",2002,3,23,0.21758,0,0,0.11,-9.14,0.7806,4.245,0.0105833333333333,8.30808563203047
"73",2002,4,0,0.34615,0,0,0.175,-9.3,0.78575,4.295,0.0211666666666667,8.30822660835511
"74",2002,4,1,0.11868,0,0,0.06,-9.95,0.7985,4.2,0.0211666666666667,8.30838876999878
"75",2002,4,2,0,0,0,0,-9.55,0.78665,4.93,0.0211666666666667,8.30855207799642
"76",2002,4,3,0.07912,0,0,0.04,-9.915,0.79945,4.105,0.0211666666666667,8.30871358955759
"77",2002,4,4,0.06923,0,0,0.035,-10.05,0.7982,4.22,0.0211666666666667,8.30886489180915
"78",2002,4,5,0,0,0,0,-9.72,0.7934,4.315,0.0211666666666667,8.30899192925268
"79",2002,4,6,0.06923,0.035,0,0,-9.435,0.78655,4.56,0.0211666666666667,8.30908800894848
"80",2002,4,7,50.68625,16.53,17.06,9.095,-8.68,0.7758,4.73,0.0211666666666667,8.56978042077677
"81",2002,4,8,325.43045,106.905,134.19,57.62,-6.275,0.7314,6.24,0.0211666666666667,8.60840208009671
"82",2002,4,9,617.74918,211.545,277.415,100.765,-3.43,0.6325,9.315,0.0211666666666667,8.60862316771773
"83",2002,4,10,828.95013,292.545,392.62,126.54,-0.905,0.5321,9.59,0.0211666666666667,8.60862358288888
"84",2002,4,11,912.46129,325.35,442.015,135.955,1.115,0.4651,9.665,0.0211666666666667,8.6086235695525
"85",2002,4,12,915.16126,325.445,444.32,137.225,2.73,0.4464,10.68,0.0211666666666667,8.60862360745512
"86",2002,4,13,807.2218,283.94,386.395,124.16,4.03,0.44605,11.035,0.0211666666666667,8.60862375958004
"87",2002,4,14,592.07474,203.575,272.655,95.755,4.835,0.44605,10.485,0.0211666666666667,8.60862381538512
"88",2002,4,15,273.46839,91.43,119.84,46.825,4.575,0.4601,9.935,0.0211666666666667,8.60862358994834
"89",2002,4,16,44.86104,14.815,16.29,7.865,2.91,0.4927,8.285,0.0211666666666667,8.60851738698192
"90",2002,4,17,1.19669,0.17,0,0.435,1.045,0.559,6.805,0.0211666666666667,8.39914408155747
"91",2002,4,18,0.04945,0,0,0.025,-0.04,0.5626,6.62,0.0211666666666667,8.39515726255313
"92",2002,4,19,0.07912,0,0,0.04,-0.335,0.55495,6.865,0.0211666666666667,8.39512702565309
"93",2002,4,20,0,0,0,0,-0.615,0.56435,7.72,0.0211666666666667,8.3951183947989
"94",2002,4,21,0,0,0,0,-0.99,0.59145,6.5,0.0211666666666667,8.39515056610317
"95",2002,4,22,0,0,0,0,-1.485,0.61955,5.46,0.0211666666666667,8.39522264131029
"96",2002,4,23,0,0,0,0,-1.935,0.64925,4.97,0.0211666666666667,8.39532956170789
"97",2002,5,0,0,0,0,0,-2.37,0.67355,5.3,0.0211666666666667,8.3954642445986
"98",2002,5,1,0,0,0,0,-2.715,0.69495,5.195,0.0211666666666667,8.39561740658816
"99",2002,5,2,0,0,0,0,-2.955,0.71175,4.125,0.0211666666666667,8.39577885403787
"100",2002,5,3,0.01978,0,0,0.01,-2.3,0.6886,5.96,0.0211666666666667,8.39593778499172
