DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Rep_Mg_per_ha,Seed_Mg_per_ha,Litter_Mg_per_ha,CumLitter_Mg_per_ha
179,0.180284339443109,0.085244969371991,0,0,0,0
189,0.55446194221275,0.41885389322975,0,0,0,0
203,1.32655293077725,1.71106736644195,0.0003171478564925,0,0,0
217,1.69794400686295,2.8928258965309,0.07939632545295,0,0,0
231,1.80774278200725,3.6859142604218,1.55457130346238,0,0.3818897637489,0.3818897637489
246,1.57881364816734,3.74526071710995,3.97601356048602,2.480314960431,0.281423009601227,0.663312773350127
259,0.947537773327332,3.61840157451295,6.5446506556431,4.846894137844,0.315325021846977,0.978637795197104
288,0,2.30570122466198,7.00896762848425,5.4133858263375,1.60453886688794,2.58317666208504
