DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Rep_Mg_per_ha,Seed_Mg_per_ha,Litter_Mg_per_ha,CumLitter_Mg_per_ha
172,0.305956875,0.25864125,0,0,0,0
187,1.120861875,1.048674375,0,0,0,0
200,1.984093125,2.895165,0,0,0,0
214,2.474574375,5.276105625,0.24234,0,0.6346542,0.6346542
228,2.19988854166667,5.39011666666667,1.63374166666667,0.48921140625,0.3052656,0.9399198
242,1.67705416666667,5.01461041666667,4.48094791666667,3.07534565625,0.30011205,1.24003185
256,0.240121875,4.083148125,6.65518875,5.12176875,1.35143625,2.5914681
270,0,3.346035,6.797844375,4.755499875,0.82445835,3.41592645
