DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Rep_Mg_per_ha,Seed_Mg_per_ha,Litter_Mg_per_ha,CumLitter_Mg_per_ha
172,0.212900625,0.189669375,0,0,0,0
187,0.8684025,0.775411875,0,0,0,0
200,1.62729,2.594143125,0,0,0,0
214,1.912365,3.705436875,0.17815875,0,0.418863,0.418863
228,2.01154479166667,4.55582604166667,1.56371979166667,0.72058153125,0.17467245,0.59353545
242,1.49277916666667,4.10347291666667,3.81524791666667,2.65335065625,0.14550555,0.739041
256,0.23323125,2.63841375,4.294395,3.2858503125,1.361853,2.100894
270,0.0002625,2.5981725,5.515006875,4.32607153125,0.5870661,2.6879601
