DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Rep_Mg_per_ha,Seed_Mg_per_ha,Litter_Mg_per_ha,CumLitter_Mg_per_ha
172,0.0324016750326565,0.0209345807199923,0,0,0,0
186,0.25801002683096,0.363068027627808,0,0,0,0
200,0.282351507208739,0.47844722561147,0,0,0,0
214,0.557541700260435,1.23015017901065,0.0618240095294448,0,0.0315155820835107,0.0349477001825138
228,0.19328116713822,0.665018413242199,0.200823179863064,0,0.0371796756474556,0.0258308369719581
242,0.619650429134179,1.57624790504359,2.129431383396,1.10737753883471,0.0424020792901126,0.0288507533142009
256,0.119470668471387,0.739054272384171,1.47989846074032,1.35326542505685,0.119272728892324,0.141522438867923
270,0.000441023436877225,0.186032464719703,0.887926288922987,0.79569271964846,0.18929917727139,0.270258187751778
