DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Rep_Mg_per_ha,Seed_Mg_per_ha,Litter_Mg_per_ha,CumLitter_Mg_per_ha
170,0.0288614989743581,0.0140386892166568,0,0,0,0
183,0.126844195883363,0.0691769682024842,0,0,0,0
197,0.185813800764872,0.331875039724574,0,0,0.0145415286227927,0.0145415286227927
211,0.111459768877048,0.322172548558877,0,0,0.0300677106970667,0.044269595767016
225,0.260863295961098,0.506731671898143,0.0815441789767976,0,0.0899900385112152,0.133355813111484
238,0.174468724811927,0.389246432425847,0.254939399968404,0.110802914322077,0.0811922090147047,0.196014789481081
254,0.277211216925042,0.6588705127773,0.875884432860045,0.527320325513078,0.151332160665083,0.307899576135426
266,0.0322792291235788,0.0765094627724133,0.701440995607645,0.539695821177888,0.38251042081393,0.568001931596077
280,0,0.400389064143299,0.651262853782401,0.510571613653798,0.0600849827848024,0.612718326713527
