DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Rep_Mg_per_ha,Seed_Mg_per_ha,Litter_Mg_per_ha,CumLitter_Mg_per_ha
172,0.0230091207713784,0.0147845711781531,0,0,0,0
187,0.100915290513257,0.113877718263042,0,0,0,0
200,0.115120242165529,0.366811059310406,0,0,0,0
214,0.0536820522556188,0.123514740509167,0.0205560295670759,0,0.0247352513183109,0.0247352513183109
228,0.113956655128373,0.286509423161869,0.259355803562976,0.135872551241428,0.0311241867837137,0.0451708761272957
242,0.302732214976165,0.584076258967151,0.437641173785314,0.294804800681347,0.0664217489381867,0.111534263875905
256,0.200282382388748,0.247726160873756,0.28981049148808,0.236194361951086,0.244964087975156,0.344489239242737
270,0.00045466333698683,0.575208931267044,1.27968287427049,1.04727149449806,0.149493932403727,0.335711628630898
