DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Rep_Mg_per_ha,Seed_Mg_per_ha,Litter_Mg_per_ha,CumLitter_Mg_per_ha
172,0.232509375,0.196940625,0,0,0,0
186,0.84065625,0.785334375,0,0,0,0
200,1.409034375,1.93790625,0,0,0,0
214,2.789521875,5.445628125,0.221484375,0,0.05053125,0.082753125
228,1.96310625,4.547353125,1.63366875,0,0.18795,0.188015625
242,1.404571875,4.097165625,4.242721875,2.327325,0.1052625,0.375965625
256,0.162225,4.863928125,8.12791875,5.646571875,0.341184375,0.71715
270,0.000254625,3.01599375,6.709171875,4.85218125,0.6544125,1.3715625
