DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Rep_Mg_per_ha,Seed_Mg_per_ha,Litter_Mg_per_ha,CumLitter_Mg_per_ha
172,0.0612686963652473,0.0317418838051556,0,0,0,0
187,0.0933242647368405,0.0625905296694067,0,0,0,0
200,0.186946021699572,0.409565241197144,0,0,0,0
214,0.142385789860846,0.207097725530537,0.066613221871675,0,0.148364189321413,0.148364189321413
228,0.154557380216206,0.485691223525168,0.308949620058635,0.118070983821881,0.0648646250289015,0.184573750872815
242,0.302415551357937,0.749000650372089,0.398567698580257,0.249603562545899,0.228171375020942,0.357708803719209
256,0.322765679854282,0.987710926538882,1.21070728534244,0.914477562878288,0.606952151403937,0.783560188915816
270,0,0.321363527726973,0.515364698870419,1.50146124191285,0.199333536910896,0.640445394184053
