DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Rep_Mg_per_ha,Seed_Mg_per_ha,Litter_Mg_per_ha,CumLitter_Mg_per_ha
179,0.1846019247446,0.0792727471502477,0,0,0,0
189,0.8377077864595,0.5883639544585,0,0,0,0
203,1.54965004362025,1.9790026245132,0,0,0,0
217,2.0839895011452,3.87817147825415,0.0389326334177,0,0,0
231,2.0989884075307,4.69969378789955,1.57863079602388,0,0.5612423446619,0.5612423446619
246,1.85039405059526,4.8946482935707,4.40142913350527,2.45734908116775,0.392971566022727,0.954213910684627
259,1.32702158782008,4.36205861732295,7.1177040239261,5.16951006082775,0.425779964970227,1.37999387565485
288,0,2.62212007852986,7.24956255409925,5.61570428651375,2.17071808818986,3.55071196384472
