DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Rep_Mg_per_ha,Seed_Mg_per_ha,Litter_Mg_per_ha,CumLitter_Mg_per_ha
170,0.184311458333333,0.0865302083333333,0,0,0,0
183,0.699773958333333,0.464114583333333,0,0,0,0
197,1.61240625,2.04815625,0,0,0.025790625,0.025790625
211,2.02111875,3.190490625,0,0,0.155465625,0.18125625
225,2.45175,4.4454375,0.66871875,0,0.563259375,0.744515625
238,2.074734375,4.617046875,2.509171875,1.012869375,0.40490625,1.149421875
254,1.6099125,4.304540625,5.0402625,3.12585,0.54495,1.694371875
266,0.04843125,2.58455678364583,6.81818552083333,4.67924625,0.844492708333333,2.53886458333333
280,0,2.392228125,5.671246875,4.2718003125,0.4843125,3.02317708333333
