DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Rep_Mg_per_ha,Seed_Mg_per_ha,Litter_Mg_per_ha,CumLitter_Mg_per_ha
170,0.139620833333333,0.0714364583333333,0,0,0,0
183,0.521667708333333,0.361148958333333,0,0,0,0
197,1.0959375,1.37353125,0,0,0.012009375,0.012009375
211,1.795303125,2.556290625,0,0,0.106246875,0.11825625
225,2.0383125,3.61134375,0.70284375,0,0.325696875,0.443953125
238,1.933640625,3.935859375,2.478984375,1.134695625,0.3005625,0.744515625
254,1.218525,2.956275,4.507846875,3.03828,0.32536875,1.069884375
266,0.010040625,1.71627673989583,5.53224395833333,3.656428125,0.812270833333333,1.88215520833333
280,0,1.859878125,4.980478125,3.77482875,0.227784375,2.10993958333333
