DOY,Leaf_Mg_per_ha,Stem_Mg_per_ha,Rep_Mg_per_ha,Seed_Mg_per_ha,Litter_Mg_per_ha,CumLitter_Mg_per_ha
170,0.0176109917736055,0.00422198834044754,0,0,0,0
183,0.0572798744208808,0.0690395897378589,0,0,0,0
197,0.179702292869345,0.150901830024316,0,0,0.0162347284008695,0.0162347284008695
211,0.169569958685705,0.335352579078978,0,0,0.0224977967671281,0.0180639294417079
225,0.0815309745108417,0.248468417887465,0.0480095205402012,0,0.0960010986265261,0.0863144148049733
238,0.131202413248337,0.300634134476609,0.282129499853348,0.182125187691865,0.0566811600644341,0.138350325543979
254,0.0565553493408228,0.261674353100017,0.600917066759671,0.393302620405673,0.107423935662053,0.21463199773828
266,0.0116633553243428,0.366895933283004,0.894790867320316,0.820736176994138,0.102829893807914,0.170111582721965
280,0,0.177935250331537,0.532830915471711,0.423001942091619,0.115923753017541,0.27603575643044
